Название,Ближайшее метро,"Расстояние до центра, км","Цена за квадратный метр, руб",Количество комнат,Этаж,Количество этажей в доме,"Площадь квартиры, м^2","Жилая площадь, м^2","Площадь кухни, м^2","Цена, руб"
"Продажа 3-комнатной квартиры 71м², 4/35этаж",Аминьевская,"•до центра 11,5 км",422535₽/м²,3-комнатная,4,35,71м²,"46,2м²",15м²,30000000
"Продажа 3-комнатной квартиры 73,8м², 5/22этаж",Мичуринский проспект,"•до центра 10,8 км",386856₽/м²,3-комнатная,5,22,"73,8м²","47,9м²","9,2м²",28550000
"Продажа 3-комнатной квартиры 110,9м², 12/20этаж",Ломоносовский проспект,"•до центра 8,7 км",630298₽/м²,3-комнатная,12,20,"110,9м²",65м²,25м²,69900000
"Продажа 1-комнатной квартиры 40м², 9/17этаж",Раменки,"•до центра 10,5 км",437500₽/м²,1-комнатная,9,17,40м²,20м²,8м²,17500000
"Продажа 2-комнатной квартиры 103м², 8/43этаж",Ломоносовский проспект,"•до центра 8,5 км",553398₽/м²,2-комнатная,8,43,,,,57000000
"Продажа 4-комнатной квартиры 131м², 2/14этаж",Минская,"•до центра 8,8 км",645038₽/м²,4-комнатная,2,14,131м²,80м²,15м²,84500000
"Продажа 3-комнатной квартиры 81м², 6/14этаж",Минская,"•до центра 8,8 км",546914₽/м²,3-комнатная,6,14,,,,44300000
"Продажа 4-комнатной квартиры 222м², 3/8этаж",Ломоносовский проспект,"•до центра 7,2 км",1175225₽/м²,4-комнатная,3,8,222м²,95м²,25м²,260900000
"Продажа 2-комнатной квартиры 58м², 25/31этаж",Аминьевская,"•до центра 11,5 км",474138₽/м²,,,,,,,27500000
"Продажа 2-комнатной квартиры 70,6м², 8/14этаж",Минская,"•до центра 8,8 км",566289₽/м²,2-комнатная,8,14,"70,6м²","48,9м²","11,6м²",39980000
"Продажа 3-комнатной квартиры 90,7м², 13/29этаж",Аминьевская,"•до центра 11,2 км",537155₽/м²,3-комнатная,13,29,,,,48719943
"Продажа 4-комнатной квартиры 98,8м², 10/14этаж",Минская,"•до центра 8,9 км",614372₽/м²,4-комнатная,10,14,"98,8м²",60м²,12м²,60700000
"Продажа 3-комнатной квартиры 97м², 8/27этаж",Аминьевская,"•до центра 11,3 км",463918₽/м²,3-комнатная,8,27,97м²,"40,6м²","11,8м²",45000000
"Продажа 3-комнатной квартиры 70,6м², 8/14этаж",Минская,"•до центра 8,9 км",566572₽/м²,3-комнатная,8,14,,,,40000000
"Продажа 3-комнатной квартиры 105,4м², 5/11этаж",Раменки,"•до центра 9,9 км",464896₽/м²,3-комнатная,5,11,"105,4м²","58,3м²","19,3м²",49000000
"Продажа 2-комнатной квартиры 62,7м², 4/11этаж",Раменки,"•до центра 9,9 км",527911₽/м²,2-комнатная,4,11,"62,7м²","30,1м²","12,3м²",33100000
"Продажа 3-комнатной квартиры 94,6м², 16/50этаж",Мичуринский проспект,"•до центра 11,2 км",505100₽/м²,3-комнатная,16,50,"94,6м²",40м²,"31,5м²",47782460
"Продажа 3-комнатной квартиры 84,8м², 2/11этаж",Ломоносовский проспект,"•до центра 8,9 км",625000₽/м²,3-комнатная,2,11,"84,8м²","40,3м²","12,8м²",53000000
"Продажа квартиры со свободной планировкой 454м², 14/14этаж",Университет,"•до центра 8,9 км",660793₽/м²,,,,,,,300000000
"Продажа 4-комнатной квартиры 150м², 13/55этаж",Ломоносовский проспект,"•до центра 6,8 км",566667₽/м²,,,,150м²,100м²,20м²,85000000
"Продажа 3-комнатной квартиры 160м², 47/53этаж",Ломоносовский проспект,"•до центра 6,8 км",1257390₽/м²,апартаменты,,,,,,201182401
"Продажа 3-комнатной квартиры 78,9м², 39/52этаж",Минская,"•до центра 9,5 км",409138₽/м²,,,,,,,32280965
"Продажа 3-комнатной квартиры 84м², 44/56этаж",Раменки,"•до центра 10,7 км",678571₽/м²,,,,,,,57000000
"Продажа 4-комнатной квартиры 109м², 32/39этаж",Аминьевская,"•до центра 11,5 км",458716₽/м²,,,,,,,50000000
"Продажа 3-комнатной квартиры 79,7м², 41/52этаж",Минская,"•до центра 9,5 км",417289₽/м²,,,,,,,33257917
"Продажа 3-комнатной квартиры 101,1м², 2/14этаж",Минская,"•до центра 8,8 км",702275₽/м²,3-комнатная,2,14,,,,71000000
"Продажа 2-комнатной квартиры 54,3м², 20/40этаж",Минская,"•до центра 7,4 км",808186₽/м²,2-комнатная,20,40,"54,3м²","32,7м²","5,8м²",43892597
"Продажа 3-комнатной квартиры 108м², 30/54этаж",Ломоносовский проспект,"•до центра 6,8 км",694352₽/м²,апартаменты,,,,,,74990000
"Продажа 2-комнатной квартиры 69,6м², 14/14этаж",Минская,•до центра 9 км,807040₽/м²,,,,,,,56170000
"Продажа 3-комнатной квартиры 111м², 9/22этаж",Ломоносовский проспект,•до центра 9 км,382883₽/м²,3-комнатная,9,22,111м²,60м²,22м²,42500000
"Продажа 1-комнатной квартиры 50м², 32/50этаж",Раменки,"•до центра 10,7 км",730000₽/м²,,,,,,,36500000
"Продажа 2-комнатной квартиры 67,2м², 10/14этаж",Минская,"•до центра 8,9 км",552083₽/м²,2-комнатная,10,14,"67,2м²","24,8м²","22,9м²",37100000
"Продажа 3-комнатной квартиры 110,6м², 9/15этаж",Раменки,"•до центра 9,9 км",549634₽/м²,3-комнатная,9,15,"110,6м²","67,8м²","6,2м²",60789575
"Продажа 2-комнатной квартиры 66,9м², 13/41этаж",Киевская,"•до центра 5,6 км",682500₽/м²,2-комнатная,13,41,,,,45693375
"Продажа 4-комнатной квартиры 101м², 10/14этаж",Минская,"•до центра 8,8 км",742574₽/м²,4-комнатная,10,14,101м²,60м²,12м²,75000000
"Продажа 2-комнатной квартиры 71м², 23/50этаж",Мичуринский проспект,"•до центра 11,2 км",473900₽/м²,,,,,,,33646900
"Продажа 2-комнатной квартиры 77м², 28/52этаж",Раменки,"•до центра 10,5 км",545455₽/м²,,,,,,,42000000
"Продажа 2-комнатной квартиры 47м², 34/41этаж",Киевская,"•до центра 5,6 км",761000₽/м²,,,,,,,35767000
"Продажа 3-комнатной квартиры 73,3м², 6/28этаж",Раменки,"•до центра 9,9 км",545703₽/м²,3-комнатная,6,28,"73,3м²","51,7м²",8м²,40000000
"Продажа 3-комнатной квартиры 110м², 3/16этаж",Ломоносовский проспект,"•до центра 7,4 км",1090909₽/м²,3-комнатная,3,16,110м²,60м²,12м²,120000000
"Продажа 2-комнатной квартиры 66,5м², 29/32этаж",Мичуринский проспект,"•до центра 11,2 км",628500₽/м²,,,,,,,41795250
"Продажа 3-комнатной квартиры 150м², 47/53этаж",Ломоносовский проспект,"•до центра 6,8 км",1258667₽/м²,апартаменты,,,,,,188800000
"Продажа 3-комнатной квартиры 98,5м², 45/49этаж",Мичуринский проспект,"•до центра 11,3 км",507900₽/м²,,,,,,,50028150
"Продажа 2-комнатной квартиры 70м², 5/38этаж",Аминьевская,"•до центра 11,5 км",577143₽/м²,2-комнатная,5,38,,,,40400000
"Продажа 1-комнатной квартиры 50,2м², 6/32этаж",Минская,"•до центра 7,2 км",780257₽/м²,1-комнатная,6,32,"50,2м²","28,1м²","4,9м²",39129900
"Продажа 4-комнатной квартиры 200м², 11/21этаж",Раменки,"•до центра 9,8 км",525000₽/м²,4-комнатная,11,21,200м²,81м²,"30,2м²",105000000
"Продажа многокомнатной квартиры 287,4м², 31/47этаж",Ломоносовский проспект,"•до центра 6,8 км",780503₽/м²,апартаменты,,,,,,224316606
"Продажа 2-комнатной квартиры 69м², 7/12этаж",Минская,"•до центра 8,8 км",579710₽/м²,2-комнатная,7,12,69м²,"35,5м²","11,6м²",40000000
"Продажа многокомнатной квартиры 304м², 3/12этаж",Ломоносовский проспект,"•до центра 7,2 км",1248681₽/м²,6-комнатная,3,12,304м²,260м²,35м²,379599000
"Продажа 2-комнатной квартиры 69,5м², 21/29этаж",Аминьевская,"•до центра 11,2 км",540571₽/м²,,,,"69,5м²","47,7м²",21 из 29,37569700
"Продажа 4-комнатной квартиры 110,1м², 23/56этаж",Минская,"•до центра 9,4 км",393638₽/м²,,,,,,,43339504
"Продажа 3-комнатной квартиры 98,3м², 30/54этаж",Ломоносовский проспект,"•до центра 6,8 км",762970₽/м²,апартаменты,,,"98,3м²",35м²,30 из 54,75000000
"Продажа 1-комнатной квартиры 48,9м², 21/40этаж",Минская,"•до центра 7,2 км",789638₽/м²,,,,,,,38637011
